ProgramName|ageLimit|ProgramDescription|programCategory|timeStart|timeEnd|duration|Date
VIVA Dance|0||0|14:00|16:00|0|2016-07-03
100% Dance|0||0|16:00|18:00|0|2016-07-03
VIVA Dance|0||0|18:00|20:00|0|2016-07-03
VIVA Power Dance|0||0|20:00|22:00|0|2016-07-03
VIVA Dance Mix|0||0|22:00|0:00|0|2016-07-03
VIVA Dance|0||0|0:00|2:00|0|2016-07-03
VIVA Dance Mix|0||0|2:00|0|0|2016-07-03
VIVA Power Dance|0||0|6:00|8:00|0|2016-07-01
VIVA Dance|0||0|8:00|10:00|0|2016-07-01
100% Dance|0||0|10:00|0|0|2016-07-01
VIVA Dance|0||0|12:00|14:00|0|2016-07-01
100% Dance|0||0|14:00|16:00|0|2016-07-01
VIVA Dance|0||0|16:00|18:00|0|2016-07-01
100% Dance|0||0|18:00|20:00|0|2016-07-01
VIVA Power Dance|0||0|20:00|22:00|0|2016-07-01
VIVA Dance Mix|0||0|22:00|0:00|0|2016-07-01
VIVA Dance|0||0|0:00|2:00|0|2016-07-01
VIVA Dance Mix|0||0|2:00|0|0|2016-07-01
Wake Me Up Before You Go Go|0||0|5:00|7:00|0|2016-07-01
Nothing But Classics|0||0|7:00|10:00|0|2016-07-01
We Are the 80s|0||0|10:00|0|0|2016-07-01
80s Vs 90s|0||0|12:00|13:00|0|2016-07-01
Smells Like the 90s|0||0|13:00|15:00|0|2016-07-01
90s vs 00s|0||0|15:00|16:00|0|2016-07-01
Flashback Fridays|0||0|16:00|20:00|0|2016-07-01
Welcome To the Weekend!|0||0|20:00|22:00|0|2016-07-01
The Rock Show|0||0|22:00|0|0|2016-07-01
Dublińskie zoo|0|Pracownik ogrodu, James, zauważa, że gorylica o imieniu Mayani cierpi z bólu. Przy bliższej obserwacji stwierdza, że jego powodem są problemy z zębami.|Serial dokumentalny|6:00|6:30|0|2016-07-05
Wodne skarby Chorwacji|0|W serialu widzowie zobaczą jedne z najpiękniejszych rezerwatów przyrody w Chorwacji. Każdy odcinek opowiada osobną historię innych skarbów, których wspólnym mianownikiem jest ich wodne pochodzenie.|Serial dokumentalny|6:30|7:25|0|2016-07-05
Planeta Europa|0|Twórcą serialu o wyjątkowych walorach wizualnych jest wielokrotnie nagradzany reżyser Kurt Mündl. Widzowie zobaczą jedne z najbardziej spektakularnych środowisk naturalnych Europy.|Serial dokumentalny|7:25|0|0|2016-07-05
Pomocne psy|0|Ocena końcowa to 48-godzinne uczestnictwo w symulacji sytuacji w bazie, w głębi terytorium wroga. Zespół musi wraz z psami założyć obóz, monitorując jednocześnie potencjalne zagrożenie.|Serial dokumentalny|8:15|8:40|0|2016-07-05
Pomocne psy|0|Zespół, wycieńczony po intensywnych 24 godzinach spędzonych na terytorium wroga, musi eskortować członka organizacji pozarządowej do miejsca budowy drogi, czyszcząc trasę z potencjalnych min.|Serial dokumentalny|8:40|9:10|0|2016-07-05
Pogotowie ratunkowe dla zwierząt|0|Zwierzęta często padają ofiarą zaniedbań i okrucieństwa. W różnych rejonach Wielkiej Brytanii funkcjonują jednostki ratownicze, których zadaniem jest pomoc zagrożonym gatunkom i porzuconym zwierzętom.|Serial dokumentalny|9:10|10:00|0|2016-07-05
Wodne skarby Chorwacji|0|W serialu widzowie zobaczą jedne z najpiękniejszych rezerwatów przyrody w Chorwacji. Każdy odcinek opowiada osobną historię innych skarbów, których wspólnym mianownikiem jest ich wodne pochodzenie.|Serial dokumentalny|10:00|10:55|0|2016-07-05
Dziki instynkt|0|Wspaniała podróż do Afryki, gdzie ponad sześć milionów lat temu żył wspólny przodek ludzi i szympansów. Podczas tej wyprawy widzowie zobaczą także oryksy i gerezy w ich naturalnym siedlisku.|Serial dokumentalny|10:55|11:50|0|2016-07-05
Planeta Europa i reszta świata|0|Niedźwiedzie, gnu i rzadkie gatunki ptaków mieszkają i polują w rozległych lasach urokliwej, skutej lodem tundry. Dokument przedstawia piękno flory Skandynawii.|Serial dokumentalny|11:50|12:45|0|2016-07-05
Dublińskie zoo|0|Na wysepce czerwonych lemurów kryziastych i makaków czubatych dookoła słychać tupot małych stop - na świat przyszły młode.|Serial dokumentalny|12:45|13:10|0|2016-07-05
Dublińskie zoo|0|Kilka słonic jest w ciąży, co sprawia że pracownicy zoo mają mnóstwo pracy z przygotowaniem odpowiednich warunków do porodów.|Serial dokumentalny|13:10|13:35|0|2016-07-05
Pomocne psy|0|Psy i opiekunowie przybywają do jednej z najlepszych psich akademii szkoleniowych. Opiekunowie zostają ostrzeżeni, by nie przywiązywać się do psów, bo nie wszystkim uda się przejść szkolenie.|Serial dokumentalny|13:35|14:00|0|2016-07-05
Pomocne psy|0|W odcinku szczegóły narkotykowego szkolenia psów. Zespół wyrusza poza granice akademii, aby sprawdzić nabyte umiejętności w praktyce.|Serial dokumentalny|14:00|14:25|0|2016-07-05
Pogotowie ratunkowe dla zwierząt|0|Zwierzęta często padają ofiarą zaniedbań i okrucieństwa. W różnych rejonach Wielkiej Brytanii funkcjonują jednostki ratownicze, których zadaniem jest pomoc zagrożonym gatunkom i porzuconym zwierzętom.|Serial dokumentalny|14:25|15:15|0|2016-07-05
Wodne skarby Chorwacji|0|W serialu widzowie zobaczą jedne z najpiękniejszych rezerwatów przyrody w Chorwacji. Każdy odcinek opowiada osobną historię innych skarbów, których wspólnym mianownikiem jest ich wodne pochodzenie.|Serial dokumentalny|15:15|16:10|0|2016-07-05
Anatomia gigantów natury|0|Zespół wyrusza do Australii by poddać anatomicznym oględzinom zwierzę-symbol tego kraju - kangura. Odkryją przy tym niezwykłe fakty dotyczące narządów rozrodczych tego zwierzęcia.|Serial dokumentalny|16:10|17:05|0|2016-07-05
Maleństwa w zoo|0|Maluchy różnych gatunków zwierząt przychodzą na świat w zoo; od młodego jawajskiego lamparta, Pelangi, po najmłodsze pociechy czarnego nosorożca.|Serial dokumentalny|17:05|17:30|0|2016-07-05
Maleństwa w zoo|0|Bliźnięta pantery śnieżnej dostają ostatnią szczepionkę, a młody wielbłąd przeżywa pierwszą przygodę na zewnątrz zagrody.|Serial dokumentalny|17:30|18:00|0|2016-07-05
Zaginiony świat Aleksandra Wielkiego|0|Australijski reporter David Adams przemierza liczący dwa i pół tysiąca kilometrów szlak, wiodący wzdłuż azjatyckiej rzeki Amu-daria, w starożytności nazywanej Oksusem, śladami Aleksandra Wielkiego.|Serial dokumentalny|18:00|18:50|0|2016-07-05
Zakazana historia|0|Jamie wyrusza do Petry, niegdysiejszej stolicy zamożnego imperium Nabatejczyków. Spotyka się tam ze jordańskim archeologiem, który przybliży widzom historię niezwykłego, starożytnego miasta.|Serial dokumentalny|18:50|19:40|0|2016-07-05
Superszpiedzy|0|Żarliwy protestant, Francis Walsingham, stał się jednym z największych w historii superszpiegów i niezastąpionym sługą królowej Elżbiety I.|Serial dokumentalny|19:40|20:25|0|2016-07-05
Dawni wojownicy operacji specjalnych|0|Odcinek poświęcony japońskim ninja wyjaśnia, jak ci wojownicy wyszkoleni w sztukach walki stali się tajną siłą najsilniejszego japońskiego szoguna.|Serial dokumentalny|20:25|21:20|0|2016-07-05
Tajemnice średniowiecznych morderstw|0|Juan Borgia był synem papieża Aleksandra VI. Za życia miał tak wielu wrogów, że po śmierci syna pogrążony w żałobie papież mógł przebierać w podejrzanych o morderstwo.|Serial dokumentalny|21:20|22:10|0|2016-07-05
Wojna secesyjna|0|Trzyczęściowy serial opowiadający o mało znanych aspektach wojny secesyjnej w Ameryce z trzech różnych perspektyw - Unionistów, Konfederatów i milionów zniewolonych ludzi walczących o wolność.|Serial dokumentalny|22:10|23:05|0|2016-07-05
Zakazana historia|0|Jamie wyrusza do Petry, niegdysiejszej stolicy zamożnego imperium Nabatejczyków. Spotyka się tam ze jordańskim archeologiem, który przybliży widzom historię niezwykłego, starożytnego miasta.|Serial dokumentalny|23:05|23:50|0|2016-07-05
Zaginiony świat Aleksandra Wielkiego|0|Australijski reporter David Adams przemierza liczący dwa i pół tysiąca kilometrów szlak, wiodący wzdłuż azjatyckiej rzeki Amu-daria, w starożytności nazywanej Oksusem, śladami Aleksandra Wielkiego.|Serial dokumentalny|23:50|0:40|0|2016-07-05
Muzeum pełne tajemnic|0|Don obejrzy drewniany detonator używany podczas napadu kolejowego, kamerę wideo która uchwyciła przedziwny fenomen oraz potężną czaszkę legendarnej bestii, która ponoć terroryzowała morskie akweny.|Serial dokumentalny|0:40|1:25|0|2016-07-05
Wojna secesyjna|0|Trzyczęściowy serial opowiadający o mało znanych aspektach wojny secesyjnej w Ameryce z trzech różnych perspektyw - Unionistów, Konfederatów i milionów zniewolonych ludzi walczących o wolność.|Serial dokumentalny|1:25|2:20|0|2016-07-05
Wyprawy w czasie|0|Przyglądając się prowadzonym wykopaliskom archeologicznym od paleolitu po czasy nowożytne serial odsłania tajemnice długiej i bogatej historii Wielkiej Brytanii.|Serial dokumentalny|2:20|3:10|0|2016-07-05
Zakazana historia|0|Jamie wyrusza do Petry, niegdysiejszej stolicy zamożnego imperium Nabatejczyków. Spotyka się tam ze jordańskim archeologiem, który przybliży widzom historię niezwykłego, starożytnego miasta.|Serial dokumentalny|3:10|3:55|0|2016-07-05
Muzeum pełne tajemnic|0|Analiza zlepka zakonserwowanych morskich stworzeń, który może stać się kluczem do wyjaśnienia tajemnicy mającej związek z Alfredem Hitchcockiem.|Serial dokumentalny|3:55|4:45|0|2016-07-05
Zaginiony świat Aleksandra Wielkiego|0|Australijski reporter David Adams przemierza liczący dwa i pół tysiąca kilometrów szlak, wiodący wzdłuż azjatyckiej rzeki Amu-daria, w starożytności nazywanej Oksusem, śladami Aleksandra Wielkiego.|Serial dokumentalny|4:45|5:35|0|2016-07-05
Destrukcyjne żywioły|0|Wypadek sterowca Hindenburg pozostaje w pamięci jako jedna z najbardziej szokujących katastrof w historii lotnictwa. Twórcy serialu wyjaśniają przyczyny tej tragedii.|Serial dokumentalny|5:35|0|0|2016-07-05
Dublińskie zoo|0|Spotkanie ze wspaniałym stadem słoni azjatyckich podczas prowadzonego przez personel szkolenia oraz w czasie rutynowych czynności, takich jak prysznic, ćwiczenia i pedicure.|Serial dokumentalny|6:00|6:30|0|2016-07-07
Wodne skarby Chorwacji|0|W serialu widzowie zobaczą jedne z najpiękniejszych rezerwatów przyrody w Chorwacji. Każdy odcinek opowiada osobną historię innych skarbów, których wspólnym mianownikiem jest ich wodne pochodzenie.|Serial dokumentalny|6:30|7:25|0|2016-07-07
Planeta Europa i reszta świata|0|Niedźwiedzie, gnu i rzadkie gatunki ptaków mieszkają i polują w rozległych lasach urokliwej, skutej lodem tundry. Dokument przedstawia piękno flory Skandynawii.|Serial dokumentalny|7:25|0|0|2016-07-07
Pomocne psy|0|Szkolenie przebiega w centrum handlowym. Wygląda na to że przyjacielski labrador Seana, Bruno, nie potrafi wytrzymać napięcia zadania, ale Sean nie traci nadziei.|Serial dokumentalny|8:20|8:45|0|2016-07-07
Pomocne psy|0|W środku szkolenia trenerzy postanawiają przetestować umiejętności zespołu podczas prawdziwej misji w klubie nocnym. Będzie to sprawdzian zarówno dla psów jak i opiekunów.|Serial dokumentalny|8:45|9:10|0|2016-07-07
Pogotowie ratunkowe dla zwierząt|0|Zwierzęta często padają ofiarą zaniedbań i okrucieństwa. W różnych rejonach Wielkiej Brytanii funkcjonują jednostki ratownicze, których zadaniem jest pomoc zagrożonym gatunkom i porzuconym zwierzętom.|Serial dokumentalny|9:10|10:00|0|2016-07-07
Wodne skarby Chorwacji|0|W serialu widzowie zobaczą jedne z najpiękniejszych rezerwatów przyrody w Chorwacji. Każdy odcinek opowiada osobną historię innych skarbów, których wspólnym mianownikiem jest ich wodne pochodzenie.|Serial dokumentalny|10:00|10:55|0|2016-07-07
Podwodny raj|7|U zachodnich wybrzeży Australii znajduje się rafa Ningaloo, znana jako tereny łowieckie rekinów wielorybich. Koralowce tworzą tu środowisko życia dla małych i dużych stworzeń.|Serial dokumentalny|10:55|11:20|0|2016-07-07
Podwodny raj|7|Georgia Południowa jest ostoją wielu gatunków zwierząt. Dzięki programowi ochrony środowiska rozwinęły się tam populacje słoni morskich, pingwinów i albatrosów.|Serial dokumentalny|11:20|11:50|0|2016-07-07
Planeta Europa i reszta świata|0|Lodowce Antarktydy to miejsca, które na swój dom wybrała populacja pingwinów, foki i wieloryby. Mieszka tam również wiele gatunków morskich ptaków.|Serial dokumentalny|11:50|12:45|0|2016-07-07
Dublińskie zoo|0|Żyrafa Jenny ma problematyczną narośl na kopytach. Personel zoo musi ją szybko zoperować. Podczas zabiegu dochodzi do komplikacji - okazuje się, że Jenny źle reaguje na narkozę.|Serial dokumentalny|12:45|13:10|0|2016-07-07
Dublińskie zoo|0|Pracownik ogrodu, James, zauważa, że gorylica o imieniu Mayani cierpi z bólu. Przy bliższej obserwacji stwierdza, że jego powodem są problemy z zębami.|Serial dokumentalny|13:10|13:35|0|2016-07-07
Pomocne psy|0|Na kilka dni przed finałowymi ocenami zespół jedzie na lotnisko. Dla psów to zetknięcie z nowym środowiskiem, ale jego opanowanie jest bardzo ważne i stanowi istotny element ukończenia kursu.|Serial dokumentalny|13:35|14:00|0|2016-07-07
Pomocne psy|0|Ocena finałowa. Trzytygodniowy okres intensywnego szkolenia dobiega końca i napięcie sięga zenitu.|Serial dokumentalny|14:00|14:25|0|2016-07-07
Pogotowie ratunkowe dla zwierząt|0|Zwierzęta często padają ofiarą zaniedbań i okrucieństwa. W różnych rejonach Wielkiej Brytanii funkcjonują jednostki ratownicze, których zadaniem jest pomoc zagrożonym gatunkom i porzuconym zwierzętom.|Serial dokumentalny|14:25|15:15|0|2016-07-07
Wodne skarby Chorwacji|0|W serialu widzowie zobaczą jedne z najpiękniejszych rezerwatów przyrody w Chorwacji. Każdy odcinek opowiada osobną historię innych skarbów, których wspólnym mianownikiem jest ich wodne pochodzenie.|Serial dokumentalny|15:15|16:10|0|2016-07-07
Maleństwa w zoo|0|Maluchy różnych gatunków zwierząt przychodzą na świat w zoo; od młodego jawajskiego lamparta, Pelangi, po najmłodsze pociechy czarnego nosorożca.|Serial dokumentalny|16:10|16:35|0|2016-07-07
Maleństwa w zoo|0|Spotkania z kilkoma tysiącami zwierząt zamieszkujących w dwóch berlińskich ogrodach zoologicznych, od świętujących urodziny okapi z Ameryki Środkowej po australijskie emu po raz pierwszy na wybiegu.|Serial dokumentalny|16:35|17:05|0|2016-07-07
Ekspedycja Birma|0|Ekspedycja przemierza dżunglę w północnej Birmie. Naukowcy mają nadzieję, że uda im się odszukać jeden z najbardziej zagrożonych gatunków tygrysa.|Serial dokumentalny|17:05|18:00|0|2016-07-07
Zaginiony świat Aleksandra Wielkiego|0|Australijski reporter David Adams przemierza liczący dwa i pół tysiąca kilometrów szlak, wiodący wzdłuż azjatyckiej rzeki Amu-daria, w starożytności nazywanej Oksusem, śladami Aleksandra Wielkiego.|Serial dokumentalny|18:00|18:50|0|2016-07-07
Zakazana historia|0|Jamie przygląda się z bliska czterem "świętym kielichom", znanym dzięki cudownym właściwościom. Każdy z tych przedmiotów ma rzesze wyznawców, uważających, że kielich jest Świętym Graalem.|Serial dokumentalny|18:50|19:40|0|2016-07-07
Zbudować zamek|12|W kolejnym odcinku zmiany w przeznaczeniu zamku, od jego roli jako twierdzy po reprezentacyjną funkcję siedziby pałacowej. Budowniczowie zamków zajęli się wymyślnym zdobieniem budowli.|Serial dokumentalny|19:40|20:30|0|2016-07-07
Ze wschodu na zachód: podróże ze środka ziemi|12|Historia narodzin i rozkwitu cywilizacji na Bliskim Wschodzie od starożytności, po czasy nowożytne i ogromnego wpływu tego regionu na Zachód.|Serial dokumentalny|20:30|21:30|0|2016-07-07
Superszpiedzy|0|Żarliwy protestant, Francis Walsingham, stał się jednym z największych w historii superszpiegów i niezastąpionym sługą królowej Elżbiety I.|Serial dokumentalny|21:30|22:20|0|2016-07-07
Tunele I wojny światowej|0|Brytyjczycy opanowali technikę wykopów, znaną jako kopanie gliny. Z kolei niemiecka piechota nie była w stanie prowadzić kopania skutecznie.|Serial dokumentalny|22:20|23:10|0|2016-07-07
Zakazana historia|0|Jamie przygląda się z bliska czterem "świętym kielichom", znanym dzięki cudownym właściwościom. Każdy z tych przedmiotów ma rzesze wyznawców, uważających, że kielich jest Świętym Graalem.|Serial dokumentalny|23:10|23:55|0|2016-07-07
Zaginiony świat Aleksandra Wielkiego|0|Australijski reporter David Adams przemierza liczący dwa i pół tysiąca kilometrów szlak, wiodący wzdłuż azjatyckiej rzeki Amu-daria, w starożytności nazywanej Oksusem, śladami Aleksandra Wielkiego.|Serial dokumentalny|23:55|0:45|0|2016-07-07
Muzeum pełne tajemnic|0|Twórcy serialu prezentują zakamarki muzealnych sal, schowków i magazynów instytucji poświęconych między innymi niewidzialnym szpiegom, bezwzględnym zabójcom, zjawiskom paranormalnym i wielu innym.|Serial dokumentalny|0:45|1:30|0|2016-07-07
Tunele I wojny światowej|0|Brytyjczycy opanowali technikę wykopów, znaną jako kopanie gliny. Z kolei niemiecka piechota nie była w stanie prowadzić kopania skutecznie.|Serial dokumentalny|1:30|2:20|0|2016-07-07
Wyprawy w czasie|0|Przyglądając się prowadzonym wykopaliskom archeologicznym od paleolitu po czasy nowożytne serial odsłania tajemnice długiej i bogatej historii Wielkiej Brytanii.|Serial dokumentalny|2:20|3:10|0|2016-07-07
Zakazana historia|0|Jamie przygląda się z bliska czterem "świętym kielichom", znanym dzięki cudownym właściwościom. Każdy z tych przedmiotów ma rzesze wyznawców, uważających, że kielich jest Świętym Graalem.|Serial dokumentalny|3:10|3:55|0|2016-07-07
Muzeum pełne tajemnic|0|Badania tekturowego pudła wypełnionego kartami zawierającymi imiona, adresy oraz inne materiały dowodowe w sprawie nierozwikłanego morderstwa, które przykuło uwagę narodu w ubiegłym stuleciu.|Serial dokumentalny|3:55|4:45|0|2016-07-07
Zaginiony świat Aleksandra Wielkiego|0|Australijski reporter David Adams przemierza liczący dwa i pół tysiąca kilometrów szlak, wiodący wzdłuż azjatyckiej rzeki Amu-daria, w starożytności nazywanej Oksusem, śladami Aleksandra Wielkiego.|Serial dokumentalny|4:45|5:35|0|2016-07-07
Strażnik Teksasu|12|Uczestnik napadu na bank zostaje zwolniony z aresztu. Wkrótce Walker i Trivette podążają jego śladem. Ściga go też nieustępliwy łowca głów.|Serial sensacyjny|6:00|7:00|0|2016-07-07
Hawaii Five-0|12|Opowieść o pracy elitarnej jednostki policji, która zwalcza przestępczość na Hawajach.|Serial kryminalny|7:00|8:00|0|2016-07-07
J.A.G. - Wojskowe Biuro Śledcze|7|Harm i Mac zostają wysłani do Bagdadu, żeby wyjaśnić okoliczności śmierci przedstawiciela rządu USA. Biuro J. A. G. ma nowego szefa - został nim generał Cresswell.|Serial sensacyjny|8:00|0|0|2016-07-07
J.A.G. - Wojskowe Biuro Śledcze|7|W czasie ćwiczeń organizowanych przez akademię marynarki wojennej doszło do wypadku. Jeden z członków załogi utonął. Mac i Turner chcą wyjaśnić, czy winę za tę śmierć ponosi dowódca grupy.|Serial sensacyjny|9:00|10:00|0|2016-07-07
Strażnik Teksasu|12|Cordell Walker należy do elitarnej formacji stróżów prawa zwanej "Strażnikami Teksasu". Mistrz sztuk walki, doskonały strzelec i niezłomny pogromca przestępców zawsze staje w obronie pokrzywdzonych.|Serial sensacyjny|10:00|11:00|0|2016-07-07
Hawaii Five-0|12|Opowieść o pracy elitarnej jednostki policji, która zwalcza przestępczość na Hawajach.|Serial kryminalny|11:00|12:00|0|2016-07-07
Arrow|7|Arsenal i Diggle próbują odwieść Laurel od zamiaru wcielenia się w Czarnego Kanarka. Tymczasem w mieście pojawia się Brick.|Serial sensacyjny|12:00|13:00|60|2016-07-07
Bananowy doktor|7|Hank nie potrafi przywyknąć do normalności. Tymczasem Divya dowiaduje się, że jest w ciąży.|Serial komediowy|13:00|14:00|0|2016-07-07
Strażnik Teksasu|12|Cordell Walker należy do elitarnej formacji stróżów prawa zwanej "Strażnikami Teksasu". Mistrz sztuk walki, doskonały strzelec i niezłomny pogromca przestępców zawsze staje w obronie pokrzywdzonych.|Serial sensacyjny|14:00|15:00|0|2016-07-07
J.A.G. - Wojskowe Biuro Śledcze|7|Strażnicy więzienia w zatoce Guantánamo dostają rozkaz przyprowadzenia na przesłuchanie jednego z osadzonych. Gdy ten odmawia opuszczenia celi, strażnicy używają w stosunku do niego siły.|Serial sensacyjny|15:00|16:00|0|2016-07-07
J.A.G. - Wojskowe Biuro Śledcze|7|W życiu Jennifer Coates nieoczekiwanie pojawia się znajomy z czasów, gdy zdarzało jej się wchodzić w konflikt z prawem. Bud zajmuje się sprawą pilota, który uczył ojca latać samolotem F-18.|Serial sensacyjny|16:00|17:00|41|2016-07-07
